iter	Passed	Remaining
0	1	143
1	2	123
2	3	109
3	4	101
4	5	97
5	6	95
6	6	91
7	7	90
8	8	88
9	9	86
10	10	84
11	11	83
12	12	81
13	13	80
14	13	79
15	14	75
16	15	76
17	16	75
18	17	74
19	18	74
20	19	73
21	20	70
22	21	71
23	22	70
24	22	68
25	23	68
26	24	67
27	25	64
28	26	65
29	27	64
30	28	62
31	29	61
32	30	61
33	30	60
34	31	59
35	32	58
36	33	56
37	34	56
38	35	55
39	36	55
40	37	54
41	37	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	44	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	48	39
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	66	23
74	67	22
75	67	21
76	69	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
